101,1,0,1,1,1
102,1,0,1,1,1
103,1,0,1,1,1
104,1,0,1,1,1
105,2,0,1,1,1
106,2,0,1,1,1
107,2,0,1,1,1
108,2,0,1,1,1
109,3,0,1,1,1
110,3,0,1,1,1
201,1,0,0,0,1
202,1,0,0,0,1
203,1,0,0,0,1
204,1,0,0,0,1
205,2,0,0,0,1
206,2,1,0,0,1
207,2,1,0,0,1
208,2,1,0,0,1
209,3,1,0,0,1
210,3,1,0,0,1
301,1,0,0,1,1
302,1,0,0,1,1
303,1,0,0,1,1
304,1,0,0,1,1
305,2,0,0,1,1
306,2,1,0,1,0
307,2,1,0,1,0
308,2,1,0,1,0
309,3,1,0,1,0
310,3,1,0,1,0
401,1,0,1,1,0
402,1,0,1,1,0
403,1,0,1,1,0
404,1,0,1,1,0
405,2,0,1,1,0
406,2,1,1,1,0
407,2,1,1,1,0
408,2,1,1,1,0
409,3,1,1,1,0
410,3,1,1,1,0
501,1,1,0,0,0
502,1,1,0,0,0
503,1,1,0,0,0
504,1,1,0,0,0
505,2,1,0,0,0
506,2,1,0,0,0
507,2,1,0,0,0
508,2,1,0,0,0
509,3,1,0,0,0
510,3,1,0,0,0
